id,ciudad,provincia,pais
0,El Encanto,Amazonas,Colombia
1,La Chorrera,Amazonas,Colombia
2,La Pedrera,Amazonas,Colombia
3,La Victoria,Amazonas,Colombia
4,Leticia,Amazonas,Colombia
5,Miriti - Paraná,Amazonas,Colombia
6,Puerto Alegría,Amazonas,Colombia
7,Puerto Arica,Amazonas,Colombia
8,Puerto Nariño,Amazonas,Colombia
9,Puerto Santander,Amazonas,Colombia
10,Tarapacá,Amazonas,Colombia
11,Abejorral,Antioquia,Colombia
12,Abriaquí,Antioquia,Colombia
13,Alejandría,Antioquia,Colombia
14,Amagá,Antioquia,Colombia
15,Amalfi,Antioquia,Colombia
16,Andes,Antioquia,Colombia
17,Angelópolis,Antioquia,Colombia
18,Angostura,Antioquia,Colombia
19,Anorí,Antioquia,Colombia
20,Anza,Antioquia,Colombia
21,Apartadó,Antioquia,Colombia
22,Arboletes,Antioquia,Colombia
23,Argelia,Antioquia,Colombia
24,Armenia,Antioquia,Colombia
25,Barbosa,Antioquia,Colombia
26,Bello,Antioquia,Colombia
27,Belmira,Antioquia,Colombia
28,Betania,Antioquia,Colombia
29,Betulia,Antioquia,Colombia
30,Briceño,Antioquia,Colombia
31,Buriticá,Antioquia,Colombia
32,Cáceres,Antioquia,Colombia
33,Caicedo,Antioquia,Colombia
34,Caldas,Antioquia,Colombia
35,Campamento,Antioquia,Colombia
36,Cañasgordas,Antioquia,Colombia
37,Caracolí,Antioquia,Colombia
38,Caramanta,Antioquia,Colombia
39,Carepa,Antioquia,Colombia
40,Carolina,Antioquia,Colombia
41,Caucasia,Antioquia,Colombia
42,Chigorodó,Antioquia,Colombia
43,Cisneros,Antioquia,Colombia
44,Ciudad Bolívar,Antioquia,Colombia
45,Cocorná,Antioquia,Colombia
46,Concepción,Antioquia,Colombia
47,Concordia,Antioquia,Colombia
48,Copacabana,Antioquia,Colombia
49,Dabeiba,Antioquia,Colombia
50,Donmatías,Antioquia,Colombia
51,Ebéjico,Antioquia,Colombia
52,El Bagre,Antioquia,Colombia
53,El Carmen de Viboral,Antioquia,Colombia
54,El Santuario,Antioquia,Colombia
55,Entrerrios,Antioquia,Colombia
56,Envigado,Antioquia,Colombia
57,Fredonia,Antioquia,Colombia
58,Frontino,Antioquia,Colombia
59,Giraldo,Antioquia,Colombia
60,Girardota,Antioquia,Colombia
61,Gómez Plata,Antioquia,Colombia
62,Granada,Antioquia,Colombia
63,Guadalupe,Antioquia,Colombia
64,Guarne,Antioquia,Colombia
65,Guatapé,Antioquia,Colombia
66,Heliconia,Antioquia,Colombia
67,Hispania,Antioquia,Colombia
68,Itagui,Antioquia,Colombia
69,Ituango,Antioquia,Colombia
70,Jardín,Antioquia,Colombia
71,Jericó,Antioquia,Colombia
72,La Ceja,Antioquia,Colombia
73,La Estrella,Antioquia,Colombia
74,La Pintada,Antioquia,Colombia
75,La Unión,Antioquia,Colombia
76,Liborina,Antioquia,Colombia
77,Maceo,Antioquia,Colombia
78,Marinilla,Antioquia,Colombia
79,Medellín,Antioquia,Colombia
80,Montebello,Antioquia,Colombia
81,Murindó,Antioquia,Colombia
82,Mutatá,Antioquia,Colombia
83,Nariño,Antioquia,Colombia
84,Nechí,Antioquia,Colombia
85,Necoclí,Antioquia,Colombia
86,Olaya,Antioquia,Colombia
87,Peñol,Antioquia,Colombia
88,Peque,Antioquia,Colombia
89,Pueblorrico,Antioquia,Colombia
90,Puerto Berrío,Antioquia,Colombia
91,Puerto Nare,Antioquia,Colombia
92,Puerto Triunfo,Antioquia,Colombia
93,Remedios,Antioquia,Colombia
94,Retiro,Antioquia,Colombia
95,Rionegro,Antioquia,Colombia
96,Sabanalarga,Antioquia,Colombia
97,Sabaneta,Antioquia,Colombia
98,Salgar,Antioquia,Colombia
99,San Andrés de Cuerquía,Antioquia,Colombia
100,San Carlos,Antioquia,Colombia
101,San Francisco,Antioquia,Colombia
102,San Jerónimo,Antioquia,Colombia
103,San José de la Montaña,Antioquia,Colombia
104,San Juan de Urabá,Antioquia,Colombia
105,San Luis,Antioquia,Colombia
106,San Pedro de los Milagros,Antioquia,Colombia
107,San Pedro de Uraba,Antioquia,Colombia
108,San Rafael,Antioquia,Colombia
109,San Roque,Antioquia,Colombia
110,San Vicente Ferrer,Antioquia,Colombia
111,Santa Bárbara,Antioquia,Colombia
112,Santa Fe de Antioquia,Antioquia,Colombia
113,Santa Rosa de Osos,Antioquia,Colombia
114,Santo Domingo,Antioquia,Colombia
115,Segovia,Antioquia,Colombia
116,Sonson,Antioquia,Colombia
117,Sopetrán,Antioquia,Colombia
118,Támesis,Antioquia,Colombia
119,Tarazá,Antioquia,Colombia
